form,lemma,lemma_sf
ˈunçen,unçˈiɾ,nç
ɾestablesˈemos,ɾestablesˈeɾ,s
enteɾneskˈajs,enteɾnesˈeɾ,s
despaɾˈeses,despaɾesˈeɾ,s
inbˈenɡan,inbenˈiɾ,n
ɾedesˈimos,ɾedesˈiɾ,s
ɾekaˈejs,ɾekaˈeɾ,
kontɾaˈaɡa,kontɾaasˈeɾ,s
detɾˈajɡo,detɾaˈeɾ,
enkaʃˈeska,enkaʃesˈeɾ,s
kopɾodˈuskas,kopɾodusˈiɾ,s
tɾansˈixa,tɾansiçˈiɾ,ç
siɾkunbenˈis,siɾkunbenˈiɾ,n
opˈonen,oponˈeɾ,n
desobedˈese,desobedesˈeɾ,s
kontɾaˈemos,kontɾaˈeɾ,
uɾçˈimos,uɾçˈiɾ,ɾç
suponˈejs,suponˈeɾ,n
ennoblˈeskan,ennoblesˈeɾ,s
ɡwaɾˈeskan,ɡwaɾesˈeɾ,s
adolesˈemos,adolesˈeɾ,s
ennoblˈese,ennoblesˈeɾ,s
ɾejntɾodusˈimos,ɾejntɾodusˈiɾ,s
ɾedˈises,ɾedesˈiɾ,s
enfebɾesˈemos,enfebɾesˈeɾ,s
emˈulçen,emulçˈeɾ,lç
despaɾˈeska,despaɾesˈeɾ,s
kopɾodusˈimos,kopɾodusˈiɾ,s
emˈulxas,emulçˈeɾ,lç
ɾestableskˈamos,ɾestablesˈeɾ,s
enseɡˈesko,enseɡesˈeɾ,s
sobɾekˈoxas,sobɾekoçˈeɾ,ç
ɾetɾadusˈis,ɾetɾadusˈiɾ,s
foɾtaleskˈajs,foɾtalesˈeɾ,s
intelˈixas,inteliçˈiɾ,ç
ensombɾeskˈamos,ensombɾesˈeɾ,s
esklaɾˈeskan,esklaɾesˈeɾ,s
ɾestablˈese,ɾestablesˈeɾ,s
sobɾekˈoçe,sobɾekoçˈeɾ,ç
enfebɾeskˈajs,enfebɾesˈeɾ,s
ɡwaɾnˈesen,ɡwaɾnesˈeɾ,s
kodiɾixˈamos,kodiɾiçˈiɾ,ç
destwˈeɾso,destoɾsˈeɾ,ɾs
enkaʃˈesko,enkaʃesˈeɾ,s
adolˈese,adolesˈeɾ,s
esklaɾˈeska,esklaɾesˈeɾ,s
enkˈoçe,enkoçˈeɾ,ç
ˈuɾçe,uɾçˈiɾ,ɾç
kondusˈimos,kondusˈiɾ,s
emˈulçes,emulçˈeɾ,lç
enfebɾˈesen,enfebɾesˈeɾ,s
foɾtalˈeskan,foɾtalesˈeɾ,s
ɾebeɾdˈesko,ɾebeɾdesˈeɾ,s
inbenɡˈajs,inbenˈiɾ,n
ˈunçes,unçˈiɾ,nç
opˈonɡo,oponˈeɾ,n
destwˈeɾsas,destoɾsˈeɾ,ɾs
dibˈeɾçes,dibeɾçˈiɾ,ɾç
destwˈeɾsen,destoɾsˈeɾ,ɾs
kodiɾˈixas,kodiɾiçˈiɾ,ç
akontˈese,akontesˈeɾ,s
kontɾaaɡˈamos,kontɾaasˈeɾ,s
kontɾaˈaɡo,kontɾaasˈeɾ,s
intelˈixan,inteliçˈiɾ,ç
ˈuɾxo,uɾçˈiɾ,ɾç
kompunçˈimos,kompunçˈiɾ,nç
ɡwaɾesˈemos,ɡwaɾesˈeɾ,s
exˈeɾsen,exeɾsˈeɾ,ɾs
ɾebenˈimos,ɾebenˈiɾ,n
ɾestablˈeska,ɾestablesˈeɾ,s
adolˈeska,adolesˈeɾ,s
konbˈeɾxo,konbeɾçˈiɾ,ɾç
enfebɾˈeskas,enfebɾesˈeɾ,s
ɾeestablˈeskas,ɾeestablesˈeɾ,s
ɾekwˈeses,ɾekosˈeɾ,s
enaɾdˈeskas,enaɾdesˈeɾ,s
inbenˈimos,inbenˈiɾ,n
substɾˈae,substɾaˈeɾ,
ɡwaɾnesˈejs,ɡwaɾnesˈeɾ,s
nasˈemos,nasˈeɾ,s
uɾxˈajs,uɾçˈiɾ,ɾç
kondˈuskas,kondusˈiɾ,s
ɡwaɾnˈeskan,ɡwaɾnesˈeɾ,s
floɾeskˈamos,floɾesˈeɾ,s
kompˈunçen,kompunçˈiɾ,nç
ɾejntɾodˈusko,ɾejntɾodusˈiɾ,s
ɾediɡˈamos,ɾedesˈiɾ,s
ɡwaɾˈesen,ɡwaɾesˈeɾ,s
kopɾodusˈis,kopɾodusˈiɾ,s
inbenɡˈamos,inbenˈiɾ,n
ensombɾˈeskan,ensombɾesˈeɾ,s
enteɾnˈesen,enteɾnesˈeɾ,s
ɾebjˈenen,ɾebenˈiɾ,n
supˈonɡas,suponˈeɾ,n
ɾetɾadˈusko,ɾetɾadusˈiɾ,s
kompˈunçe,kompunçˈiɾ,nç
emˈulxa,emulçˈeɾ,lç
enɡɾandˈesko,enɡɾandesˈeɾ,s
ɾedˈiɡa,ɾedesˈiɾ,s
ɾekˈajɡa,ɾekaˈeɾ,
detɾajɡˈamos,detɾaˈeɾ,
inbenˈis,inbenˈiɾ,n
floɾesˈejs,floɾesˈeɾ,s
abstɾˈaen,abstɾaˈeɾ,
siɾkunbenɡˈajs,siɾkunbenˈiɾ,n
nˈasen,nasˈeɾ,s
pɾeestableskˈajs,pɾeestablesˈeɾ,s
kontɾaˈejs,kontɾaˈeɾ,
akontˈeskas,akontesˈeɾ,s
kopɾodˈuses,kopɾodusˈiɾ,s
enkaʃesˈejs,enkaʃesˈeɾ,s
sobɾekˈoxan,sobɾekoçˈeɾ,ç
ɾejntɾodˈuskan,ɾejntɾodusˈiɾ,s
esklaɾesˈejs,esklaɾesˈeɾ,s
oskuɾesˈejs,oskuɾesˈeɾ,s
foɾtalˈese,foɾtalesˈeɾ,s
ensombɾˈeska,ensombɾesˈeɾ,s
emulçˈemos,emulçˈeɾ,lç
detɾajɡˈajs,detɾaˈeɾ,
enkaʃeskˈamos,enkaʃesˈeɾ,s
enteɾnˈeskan,enteɾnesˈeɾ,s
ɾekwˈesan,ɾekosˈeɾ,s
destwˈeɾsa,destoɾsˈeɾ,ɾs
pɾeestablˈeses,pɾeestablesˈeɾ,s
enseɡˈeskan,enseɡesˈeɾ,s
enaɾdˈeskan,enaɾdesˈeɾ,s
konbˈeɾxas,konbeɾçˈiɾ,ɾç
desobedesˈemos,desobedesˈeɾ,s
ɾekwˈese,ɾekosˈeɾ,s
exeɾsˈajs,exeɾsˈeɾ,ɾs
ɾetɾaduskˈamos,ɾetɾadusˈiɾ,s
substɾˈajɡan,substɾaˈeɾ,
pɾeestablˈeskan,pɾeestablesˈeɾ,s
kompˈunxas,kompunçˈiɾ,nç
ɾeestableskˈajs,ɾeestablesˈeɾ,s
akontesˈemos,akontesˈeɾ,s
ɾeestablˈeses,ɾeestablesˈeɾ,s
kontɾaasˈemos,kontɾaasˈeɾ,s
ɾekˈae,ɾekaˈeɾ,
floɾˈese,floɾesˈeɾ,s
detɾˈaes,detɾaˈeɾ,
enaɾdeskˈajs,enaɾdesˈeɾ,s
intelˈiçen,inteliçˈiɾ,ç
oskuɾesˈemos,oskuɾesˈeɾ,s
oskuɾeskˈajs,oskuɾesˈeɾ,s
inteliçˈimos,inteliçˈiɾ,ç
kontɾaasˈejs,kontɾaasˈeɾ,s
opˈonɡan,oponˈeɾ,n
supˈonen,suponˈeɾ,n
exeɾsˈejs,exeɾsˈeɾ,ɾs
enkˈoxo,enkoçˈeɾ,ç
siɾkunbˈenɡas,siɾkunbenˈiɾ,n
dibˈeɾçen,dibeɾçˈiɾ,ɾç
konbeɾçˈimos,konbeɾçˈiɾ,ɾç
ɾeestablˈesko,ɾeestablesˈeɾ,s
floɾˈeses,floɾesˈeɾ,s
enkˈoçes,enkoçˈeɾ,ç
kontɾaˈaɡas,kontɾaasˈeɾ,s
siɾkunbˈenɡan,siɾkunbenˈiɾ,n
destwˈeɾse,destoɾsˈeɾ,ɾs
konbˈeɾxa,konbeɾçˈiɾ,ɾç
adolˈesen,adolesˈeɾ,s
desobedˈesko,desobedesˈeɾ,s
ʃˈaskas,ʃasˈeɾ,s
exˈeɾsan,exeɾsˈeɾ,ɾs
ɾebeɾdeskˈajs,ɾebeɾdesˈeɾ,s
kontɾˈajɡas,kontɾaˈeɾ,
ɾeestablˈese,ɾeestablesˈeɾ,s
kontɾaˈases,kontɾaasˈeɾ,s
sobɾekˈoçes,sobɾekoçˈeɾ,ç
ɾetɾaduskˈajs,ɾetɾadusˈiɾ,s
emˈulxan,emulçˈeɾ,lç
ɾetɾadˈusen,ɾetɾadusˈiɾ,s
enteɾnˈeses,enteɾnesˈeɾ,s
sobɾekoxˈamos,sobɾekoçˈeɾ,ç
substɾajɡˈamos,substɾaˈeɾ,
pɾeestablesˈejs,pɾeestablesˈeɾ,s
suponɡˈamos,suponˈeɾ,n
desobedesˈejs,desobedesˈeɾ,s
kodiɾiçˈimos,kodiɾiçˈiɾ,ç
enteɾnˈesko,enteɾnesˈeɾ,s
desobedˈeskan,desobedesˈeɾ,s
enseɡˈesen,enseɡesˈeɾ,s
indispˈonɡas,indisponˈeɾ,n
adoleskˈamos,adolesˈeɾ,s
palidˈeskan,palidesˈeɾ,s
nˈasko,nasˈeɾ,s
indisponɡˈajs,indisponˈeɾ,n
ennoblesˈejs,ennoblesˈeɾ,s
konbeɾxˈajs,konbeɾçˈiɾ,ɾç
esklaɾˈesen,esklaɾesˈeɾ,s
abstɾˈajɡa,abstɾaˈeɾ,
oskuɾˈeses,oskuɾesˈeɾ,s
kaɾeskˈajs,kaɾesˈeɾ,s
akontˈeska,akontesˈeɾ,s
ɾebˈenɡa,ɾebenˈiɾ,n
ɾekˈajɡas,ɾekaˈeɾ,
kondˈusen,kondusˈiɾ,s
detɾaˈemos,detɾaˈeɾ,
desbanˈeskan,desbanesˈeɾ,s
ɾedˈiɡan,ɾedesˈiɾ,s
ɾestablˈeskas,ɾestablesˈeɾ,s
esklaɾˈeses,esklaɾesˈeɾ,s
enaɾdeskˈamos,enaɾdesˈeɾ,s
ɡwaɾˈeses,ɡwaɾesˈeɾ,s
substɾˈaen,substɾaˈeɾ,
oponˈejs,oponˈeɾ,n
oponɡˈajs,oponˈeɾ,n
kontɾˈajɡa,kontɾaˈeɾ,
desbanˈeskas,desbanesˈeɾ,s
ɾejntɾodusˈis,ɾejntɾodusˈiɾ,s
desbanˈeska,desbanesˈeɾ,s
kondˈuskan,kondusˈiɾ,s
desbanesˈemos,desbanesˈeɾ,s
enaɾdesˈejs,enaɾdesˈeɾ,s
ɾekˈajɡo,ɾekaˈeɾ,
enaɾdˈesko,enaɾdesˈeɾ,s
ensombɾesˈemos,ensombɾesˈeɾ,s
tɾansˈiçe,tɾansiçˈiɾ,ç
nˈaskas,nasˈeɾ,s
kodiɾiçˈis,kodiɾiçˈiɾ,ç
kaɾˈeskan,kaɾesˈeɾ,s
abstɾˈae,abstɾaˈeɾ,
deduskˈamos,dedusˈiɾ,s
ɾedˈise,ɾedesˈiɾ,s
intelˈiçe,inteliçˈiɾ,ç
palidˈeskas,palidesˈeɾ,s
kontɾˈae,kontɾaˈeɾ,
oskuɾˈesen,oskuɾesˈeɾ,s
dibeɾxˈajs,dibeɾçˈiɾ,ɾç
oponɡˈamos,oponˈeɾ,n
exˈeɾsas,exeɾsˈeɾ,ɾs
enkaʃˈese,enkaʃesˈeɾ,s
enkaʃˈeses,enkaʃesˈeɾ,s
ennoblˈesen,ennoblesˈeɾ,s
kompunxˈamos,kompunçˈiɾ,nç
ɾebjˈenes,ɾebenˈiɾ,n
exˈeɾsa,exeɾsˈeɾ,ɾs
kontɾaˈasen,kontɾaasˈeɾ,s
ɾedˈiɡo,ɾedesˈiɾ,s
ɾejntɾodˈuskas,ɾejntɾodusˈiɾ,s
ɾekˈajɡan,ɾekaˈeɾ,
emˈulxo,emulçˈeɾ,lç
desobedˈeskas,desobedesˈeɾ,s
naskˈamos,nasˈeɾ,s
oskuɾeskˈamos,oskuɾesˈeɾ,s
ɾekwˈesen,ɾekosˈeɾ,s
kopɾoduskˈajs,kopɾodusˈiɾ,s
siɾkunbjˈene,siɾkunbenˈiɾ,n
enɡɾandˈeskan,enɡɾandesˈeɾ,s
floɾesˈemos,floɾesˈeɾ,s
ennoblˈeses,ennoblesˈeɾ,s
ɾebeɾdˈese,ɾebeɾdesˈeɾ,s
destoɾsˈemos,destoɾsˈeɾ,ɾs
ɾebˈenɡo,ɾebenˈiɾ,n
palidesˈejs,palidesˈeɾ,s
sobɾekˈoxo,sobɾekoçˈeɾ,ç
substɾaˈejs,substɾaˈeɾ,
ɾekwˈeso,ɾekosˈeɾ,s
pɾeestablˈese,pɾeestablesˈeɾ,s
unçˈimos,unçˈiɾ,nç
enkˈoxas,enkoçˈeɾ,ç
ensombɾesˈejs,ensombɾesˈeɾ,s
ɾekosˈajs,ɾekosˈeɾ,s
enseɡˈese,enseɡesˈeɾ,s
kaɾeskˈamos,kaɾesˈeɾ,s
dibˈeɾxan,dibeɾçˈiɾ,ɾç
ɾediɡˈajs,ɾedesˈiɾ,s
abstɾˈajɡan,abstɾaˈeɾ,
ɾestablesˈejs,ɾestablesˈeɾ,s
desobedeskˈamos,desobedesˈeɾ,s
ɡwaɾˈeskas,ɡwaɾesˈeɾ,s
ˈuɾxas,uɾçˈiɾ,ɾç
desbaneskˈajs,desbanesˈeɾ,s
enteɾneskˈamos,enteɾnesˈeɾ,s
inbjˈene,inbenˈiɾ,n
kopɾodˈuskan,kopɾodusˈiɾ,s
enaɾdˈesen,enaɾdesˈeɾ,s
ɾeestableskˈamos,ɾeestablesˈeɾ,s
enteɾnesˈemos,enteɾnesˈeɾ,s
despaɾeskˈajs,despaɾesˈeɾ,s
desbanˈese,desbanesˈeɾ,s
adolˈeses,adolesˈeɾ,s
ɾejntɾodˈuses,ɾejntɾodusˈiɾ,s
kontɾˈaen,kontɾaˈeɾ,
kodiɾˈixo,kodiɾiçˈiɾ,ç
ɾejntɾodˈuska,ɾejntɾodusˈiɾ,s
enɡɾandˈeses,enɡɾandesˈeɾ,s
dibˈeɾxo,dibeɾçˈiɾ,ɾç
indisponˈemos,indisponˈeɾ,n
enteɾnˈeska,enteɾnesˈeɾ,s
kompˈunçes,kompunçˈiɾ,nç
ɡwaɾnˈeskas,ɡwaɾnesˈeɾ,s
enfebɾˈeskan,enfebɾesˈeɾ,s
detɾaˈejs,detɾaˈeɾ,
konbˈeɾçen,konbeɾçˈiɾ,ɾç
inbjˈenen,inbenˈiɾ,n
esklaɾeskˈamos,esklaɾesˈeɾ,s
ɾedˈisen,ɾedesˈiɾ,s
ɾetɾadusˈimos,ɾetɾadusˈiɾ,s
ɾebeɾdˈesen,ɾebeɾdesˈeɾ,s
ɾebjˈene,ɾebenˈiɾ,n
konduskˈamos,kondusˈiɾ,s
dibˈeɾçe,dibeɾçˈiɾ,ɾç
ennoblˈesko,ennoblesˈeɾ,s
kaɾˈese,kaɾesˈeɾ,s
kompˈunxo,kompunçˈiɾ,nç
intelˈiçes,inteliçˈiɾ,ç
enɡɾandeskˈamos,enɡɾandesˈeɾ,s
akontˈesko,akontesˈeɾ,s
enseɡeskˈamos,enseɡesˈeɾ,s
despaɾesˈejs,despaɾesˈeɾ,s
indispˈone,indisponˈeɾ,n
despaɾˈesen,despaɾesˈeɾ,s
enɡɾandˈeskas,enɡɾandesˈeɾ,s
enɡɾandˈese,enɡɾandesˈeɾ,s
ɡwaɾˈeska,ɡwaɾesˈeɾ,s
ˈuɾçen,uɾçˈiɾ,ɾç
enkoçˈemos,enkoçˈeɾ,ç
despaɾˈeskas,despaɾesˈeɾ,s
foɾtalˈesko,foɾtalesˈeɾ,s
ensombɾˈeskas,ensombɾesˈeɾ,s
ɡwaɾnˈese,ɡwaɾnesˈeɾ,s
inbˈenɡas,inbenˈiɾ,n
indispˈonɡo,indisponˈeɾ,n
esklaɾˈese,esklaɾesˈeɾ,s
ɾebeɾdˈeskas,ɾebeɾdesˈeɾ,s
ɡwaɾesˈejs,ɡwaɾesˈeɾ,s
ɾeestablesˈemos,ɾeestablesˈeɾ,s
palidˈese,palidesˈeɾ,s
ˈunxas,unçˈiɾ,nç
kopɾodˈusen,kopɾodusˈiɾ,s
palidesˈemos,palidesˈeɾ,s
unçˈis,unçˈiɾ,nç
kompˈunxan,kompunçˈiɾ,nç
ennobleskˈajs,ennoblesˈeɾ,s
ɾekajɡˈajs,ɾekaˈeɾ,
indispˈonen,indisponˈeɾ,n
ʃaskˈajs,ʃasˈeɾ,s
dibeɾxˈamos,dibeɾçˈiɾ,ɾç
kodiɾˈiçes,kodiɾiçˈiɾ,ç
ɾebenɡˈajs,ɾebenˈiɾ,n
kodiɾˈixan,kodiɾiçˈiɾ,ç
despaɾesˈemos,despaɾesˈeɾ,s
siɾkunbˈenɡa,siɾkunbenˈiɾ,n
floɾeskˈajs,floɾesˈeɾ,s
dedˈusen,dedusˈiɾ,s
kondusˈis,kondusˈiɾ,s
emulxˈamos,emulçˈeɾ,lç
tɾansˈixas,tɾansiçˈiɾ,ç
enɡɾandesˈejs,enɡɾandesˈeɾ,s
ɾekosˈejs,ɾekosˈeɾ,s
ɾebeɾdeskˈamos,ɾebeɾdesˈeɾ,s
ɾejntɾoduskˈajs,ɾejntɾodusˈiɾ,s
emulçˈejs,emulçˈeɾ,lç
dibˈeɾxa,dibeɾçˈiɾ,ɾç
dedˈuska,dedusˈiɾ,s
adolˈesko,adolesˈeɾ,s
dedˈusko,dedusˈiɾ,s
ˈuɾxa,uɾçˈiɾ,ɾç
foɾtalesˈemos,foɾtalesˈeɾ,s
oponˈemos,oponˈeɾ,n
ɾejntɾoduskˈamos,ɾejntɾodusˈiɾ,s
foɾtalˈesen,foɾtalesˈeɾ,s
kompunçˈis,kompunçˈiɾ,nç
inbˈenɡo,inbenˈiɾ,n
ɾestablˈeskan,ɾestablesˈeɾ,s
akontˈesen,akontesˈeɾ,s
ʃaskˈamos,ʃasˈeɾ,s
ɾekˈaen,ɾekaˈeɾ,
exˈeɾso,exeɾsˈeɾ,ɾs
ɾeestablˈesen,ɾeestablesˈeɾ,s
tɾansiçˈis,tɾansiçˈiɾ,ç
substɾˈajɡas,substɾaˈeɾ,
ɾetɾadˈuses,ɾetɾadusˈiɾ,s
ɾestableskˈajs,ɾestablesˈeɾ,s
nasˈejs,nasˈeɾ,s
ʃˈases,ʃasˈeɾ,s
oskuɾˈeska,oskuɾesˈeɾ,s
ʃˈaska,ʃasˈeɾ,s
ʃasˈejs,ʃasˈeɾ,s
destwˈeɾses,destoɾsˈeɾ,ɾs
enseɡˈeskas,enseɡesˈeɾ,s
pɾeestablˈesko,pɾeestablesˈeɾ,s
ɾekaˈemos,ɾekaˈeɾ,
enkˈoxan,enkoçˈeɾ,ç
enɡɾandˈesen,enɡɾandesˈeɾ,s
konbˈeɾçe,konbeɾçˈiɾ,ɾç
unxˈamos,unçˈiɾ,nç
ɡwaɾneskˈajs,ɡwaɾnesˈeɾ,s
nˈases,nasˈeɾ,s
adolesˈejs,adolesˈeɾ,s
enteɾnesˈejs,enteɾnesˈeɾ,s
ɾebˈenɡas,ɾebenˈiɾ,n
ɡwaɾnˈeses,ɡwaɾnesˈeɾ,s
dedusˈis,dedusˈiɾ,s
kaɾesˈejs,kaɾesˈeɾ,s
kopɾodˈusko,kopɾodusˈiɾ,s
ɡwaɾnesˈemos,ɡwaɾnesˈeɾ,s
opˈonɡas,oponˈeɾ,n
desobedˈeses,desobedesˈeɾ,s
palideskˈajs,palidesˈeɾ,s
kaɾˈeses,kaɾesˈeɾ,s
konbeɾxˈamos,konbeɾçˈiɾ,ɾç
desbanˈeses,desbanesˈeɾ,s
kondˈusko,kondusˈiɾ,s
dedusˈimos,dedusˈiɾ,s
detɾˈaen,detɾaˈeɾ,
ʃˈaskan,ʃasˈeɾ,s
ɾebeɾdˈeskan,ɾebeɾdesˈeɾ,s
pɾeestablˈeskas,pɾeestablesˈeɾ,s
sobɾekˈoçen,sobɾekoçˈeɾ,ç
foɾtaleskˈamos,foɾtalesˈeɾ,s
kompˈunxa,kompunçˈiɾ,nç
adolˈeskas,adolesˈeɾ,s
kaɾˈesen,kaɾesˈeɾ,s
ɾejntɾodˈuse,ɾejntɾodusˈiɾ,s
kopɾodˈuse,kopɾodusˈiɾ,s
ensombɾˈesen,ensombɾesˈeɾ,s
dedˈuses,dedusˈiɾ,s
indisponɡˈamos,indisponˈeɾ,n
ɾekwˈesa,ɾekosˈeɾ,s
suponˈemos,suponˈeɾ,n
kodiɾˈiçen,kodiɾiçˈiɾ,ç
ɾekajɡˈamos,ɾekaˈeɾ,
ensombɾˈese,ensombɾesˈeɾ,s
supˈones,suponˈeɾ,n
opˈonɡa,oponˈeɾ,n
enaɾdˈeska,enaɾdesˈeɾ,s
kopɾodˈuska,kopɾodusˈiɾ,s
palideskˈamos,palidesˈeɾ,s
floɾˈeska,floɾesˈeɾ,s
substɾˈaes,substɾaˈeɾ,
detɾˈajɡan,detɾaˈeɾ,
exeɾsˈemos,exeɾsˈeɾ,ɾs
abstɾˈajɡo,abstɾaˈeɾ,
ennoblˈeskas,ennoblesˈeɾ,s
deduskˈajs,dedusˈiɾ,s
ɾetɾadˈuska,ɾetɾadusˈiɾ,s
destwˈeɾsan,destoɾsˈeɾ,ɾs
intelˈixa,inteliçˈiɾ,ç
kontɾaˈaɡan,kontɾaasˈeɾ,s
enkaʃˈeskas,enkaʃesˈeɾ,s
ɾedesˈis,ɾedesˈiɾ,s
