form,lemma,lemma_sf
ɾebenˈis,ɾebenˈiɾ,n
pɾoduskˈamos,pɾodusˈiɾ,s
deskomponˈemos,deskomponˈeɾ,n
deponˈejs,deponˈeɾ,n
enteɾneskˈajs,enteɾnesˈeɾ,s
ɾetwˈeɾsan,ɾetoɾsˈeɾ,ɾs
enmoesˈemos,enmoesˈeɾ,s
deskompˈonen,deskomponˈeɾ,n
kontɾaˈaɡa,kontɾaasˈeɾ,s
ekibˈalɡas,ekibalˈeɾ,l
estableskˈamos,establesˈeɾ,s
ɾetoɾsˈemos,ɾetoɾsˈeɾ,ɾs
deskompˈonɡa,deskomponˈeɾ,n
fulçˈimos,fulçˈiɾ,lç
kajɡˈajs,kaˈeɾ,
enoɾɡuʃˈeskan,enoɾɡuʃesˈeɾ,s
deponˈemos,deponˈeɾ,n
tɾaˈemos,tɾaˈeɾ,
enkaɾesˈejs,enkaɾesˈeɾ,s
kompaɾˈeskas,kompaɾesˈeɾ,s
enoɾɡuʃeskˈajs,enoɾɡuʃesˈeɾ,s
fˈulçe,fulçˈiɾ,lç
ekibˈalɡa,ekibalˈeɾ,l
astɾˈinçen,astɾinçˈiɾ,nç
anoʧˈeska,anoʧesˈeɾ,s
aborˈeskas,aboresˈeɾ,s
pɾebalˈeses,pɾebalesˈeɾ,s
pɾebaleskˈajs,pɾebalesˈeɾ,s
ɾeblandeskˈajs,ɾeblandesˈeɾ,s
tɾˈajɡo,tɾaˈeɾ,
distɾˈaen,distɾaˈeɾ,
embeʃˈesen,embeʃesˈeɾ,s
enɾoxˈeskan,enɾoxesˈeɾ,s
enmoˈeses,enmoesˈeɾ,s
enkaɾeskˈajs,enkaɾesˈeɾ,s
deponɡˈajs,deponˈeɾ,n
apaɾˈeskas,apaɾesˈeɾ,s
enkaɾeskˈamos,enkaɾesˈeɾ,s
deponɡˈamos,deponˈeɾ,n
depˈonɡas,deponˈeɾ,n
enɾoxeskˈamos,enɾoxesˈeɾ,s
ekibˈales,ekibalˈeɾ,l
enkaɾˈesen,enkaɾesˈeɾ,s
enflakeskˈamos,enflakesˈeɾ,s
aboresˈemos,aboresˈeɾ,s
astɾˈinçes,astɾinçˈiɾ,nç
kontɾaaɡˈamos,kontɾaasˈeɾ,s
balbˈusko,balbusˈiɾ,s
kontɾaˈaɡo,kontɾaasˈeɾ,s
embeʃˈesko,embeʃesˈeɾ,s
ɾeblandˈeskan,ɾeblandesˈeɾ,s
ekibalˈemos,ekibalˈeɾ,l
ɾebenˈimos,ɾebenˈiɾ,n
enbexˈeskas,enbexesˈeɾ,s
distɾaˈejs,distɾaˈeɾ,
pɾebaleskˈamos,pɾebalesˈeɾ,s
ekibˈalɡo,ekibalˈeɾ,l
antediɡˈajs,antedesˈiɾ,s
enɾoxesˈemos,enɾoxesˈeɾ,s
apaɾˈesen,apaɾesˈeɾ,s
enɾoxˈesen,enɾoxesˈeɾ,s
astɾinçˈimos,astɾinçˈiɾ,nç
pɾodˈuses,pɾodusˈiɾ,s
fɾançˈis,fɾançˈiɾ,nç
aborˈesen,aboresˈeɾ,s
enteɾnˈesen,enteɾnesˈeɾ,s
empodɾeskˈajs,empodɾesˈeɾ,s
ɾebjˈenen,ɾebenˈiɾ,n
pɾoduskˈajs,pɾodusˈiɾ,s
embeʃˈeskas,embeʃesˈeɾ,s
enflakˈeskas,enflakesˈeɾ,s
kˈajɡa,kaˈeɾ,
anoʧesˈejs,anoʧesˈeɾ,s
fˈulxa,fulçˈiɾ,lç
enɾoxˈese,enɾoxesˈeɾ,s
balbuskˈamos,balbusˈiɾ,s
ɾeblandesˈemos,ɾeblandesˈeɾ,s
ɾeblandesˈejs,ɾeblandesˈeɾ,s
desaɡˈamos,desasˈeɾ,s
depˈones,deponˈeɾ,n
empodɾˈeska,empodɾesˈeɾ,s
deskompˈones,deskomponˈeɾ,n
fɾˈançen,fɾançˈiɾ,nç
desˈase,desasˈeɾ,s
enteɾnˈeskan,enteɾnesˈeɾ,s
ɾeblandˈese,ɾeblandesˈeɾ,s
kˈajɡas,kaˈeɾ,
enmoesˈejs,enmoesˈeɾ,s
enoɾɡuʃesˈejs,enoɾɡuʃesˈeɾ,s
enkaɾesˈemos,enkaɾesˈeɾ,s
ɾetwˈeɾsas,ɾetoɾsˈeɾ,ɾs
tɾˈae,tɾaˈeɾ,
fɾˈanxo,fɾançˈiɾ,nç
kˈaes,kaˈeɾ,
kontɾaasˈemos,kontɾaasˈeɾ,s
astɾinçˈis,astɾinçˈiɾ,nç
enmoˈese,enmoesˈeɾ,s
fulxˈamos,fulçˈiɾ,lç
pɾebalesˈemos,pɾebalesˈeɾ,s
ekibalɡˈajs,ekibalˈeɾ,l
tɾajɡˈamos,tɾaˈeɾ,
desˈasen,desasˈeɾ,s
enoɾɡuʃeskˈamos,enoɾɡuʃesˈeɾ,s
kontɾaasˈejs,kontɾaasˈeɾ,s
astɾˈinçe,astɾinçˈiɾ,nç
deskomponɡˈajs,deskomponˈeɾ,n
kontɾaˈaɡas,kontɾaasˈeɾ,s
distɾˈaes,distɾaˈeɾ,
pɾodusˈimos,pɾodusˈiɾ,s
empodɾˈeskas,empodɾesˈeɾ,s
aboresˈejs,aboresˈeɾ,s
desaɡˈajs,desasˈeɾ,s
empodɾˈeskan,empodɾesˈeɾ,s
kontɾaˈases,kontɾaasˈeɾ,s
empodɾˈesen,empodɾesˈeɾ,s
fɾˈanxas,fɾançˈiɾ,nç
enteɾnˈeses,enteɾnesˈeɾ,s
enɾoxˈeskas,enɾoxesˈeɾ,s
ekibˈalɡan,ekibalˈeɾ,l
tɾˈajɡa,tɾaˈeɾ,
anoʧˈeskas,anoʧesˈeɾ,s
enteɾnˈesko,enteɾnesˈeɾ,s
anoʧeskˈajs,anoʧesˈeɾ,s
ekibalˈejs,ekibalˈeɾ,l
kajɡˈamos,kaˈeɾ,
empodɾesˈemos,empodɾesˈeɾ,s
enflakˈeskan,enflakesˈeɾ,s
ɾebˈenɡa,ɾebenˈiɾ,n
depˈonen,deponˈeɾ,n
aboreskˈajs,aboresˈeɾ,s
tɾˈaes,tɾaˈeɾ,
enflakˈesen,enflakesˈeɾ,s
aborˈese,aboresˈeɾ,s
depˈonɡo,deponˈeɾ,n
astɾˈinxa,astɾinçˈiɾ,nç
distɾˈajɡas,distɾaˈeɾ,
ekibˈalen,ekibalˈeɾ,l
enbexˈese,enbexesˈeɾ,s
anoʧˈeskan,anoʧesˈeɾ,s
embeʃˈeskan,embeʃesˈeɾ,s
fˈulçen,fulçˈiɾ,lç
apaɾesˈejs,apaɾesˈeɾ,s
ɾetwˈeɾso,ɾetoɾsˈeɾ,ɾs
ekibˈale,ekibalˈeɾ,l
kompaɾˈesen,kompaɾesˈeɾ,s
distɾˈajɡan,distɾaˈeɾ,
aborˈeskan,aboresˈeɾ,s
distɾˈajɡo,distɾaˈeɾ,
ɾebjˈenes,ɾebenˈiɾ,n
astɾinxˈamos,astɾinçˈiɾ,nç
kontɾaˈasen,kontɾaasˈeɾ,s
enbexˈeskan,enbexesˈeɾ,s
enɾoxesˈejs,enɾoxesˈeɾ,s
aborˈesko,aboresˈeɾ,s
ɾebˈenɡo,ɾebenˈiɾ,n
enmoˈesko,enmoesˈeɾ,s
enmoˈeskan,enmoesˈeɾ,s
fɾˈançe,fɾançˈiɾ,nç
ɾeapaɾˈesen,ɾeapaɾesˈeɾ,s
enɾoxˈeska,enɾoxesˈeɾ,s
pɾebalˈesen,pɾebalesˈeɾ,s
pɾebalˈeskas,pɾebalesˈeɾ,s
enteɾneskˈamos,enteɾnesˈeɾ,s
balbˈuska,balbusˈiɾ,s
kompaɾeskˈamos,kompaɾesˈeɾ,s
enteɾnesˈemos,enteɾnesˈeɾ,s
distɾaˈemos,distɾaˈeɾ,
balbˈusen,balbusˈiɾ,s
balbusˈis,balbusˈiɾ,s
pɾebalˈeskan,pɾebalesˈeɾ,s
kˈae,kaˈeɾ,
depˈonɡan,deponˈeɾ,n
deskomponˈejs,deskomponˈeɾ,n
enteɾnˈeska,enteɾnesˈeɾ,s
astɾinxˈajs,astɾinçˈiɾ,nç
ɾeapaɾˈeskas,ɾeapaɾesˈeɾ,s
empodɾˈesko,empodɾesˈeɾ,s
enmoeskˈajs,enmoesˈeɾ,s
enmoeskˈamos,enmoesˈeɾ,s
ɾeapaɾeskˈajs,ɾeapaɾesˈeɾ,s
ɾebjˈene,ɾebenˈiɾ,n
antediɡˈamos,antedesˈiɾ,s
aboreskˈamos,aboresˈeɾ,s
kˈajɡo,kaˈeɾ,
apaɾeskˈajs,apaɾesˈeɾ,s
enoɾɡuʃˈesen,enoɾɡuʃesˈeɾ,s
enɾoxˈeses,enɾoxesˈeɾ,s
ɾeblandˈeskas,ɾeblandesˈeɾ,s
balbusˈimos,balbusˈiɾ,s
anoʧˈesen,anoʧesˈeɾ,s
establesˈemos,establesˈeɾ,s
ɾetwˈeɾse,ɾetoɾsˈeɾ,ɾs
enoɾɡuʃˈese,enoɾɡuʃesˈeɾ,s
ɾeapaɾˈeskan,ɾeapaɾesˈeɾ,s
kaˈemos,kaˈeɾ,
enbexˈesen,enbexesˈeɾ,s
fɾˈanxan,fɾançˈiɾ,nç
ɾetwˈeɾses,ɾetoɾsˈeɾ,ɾs
empodɾeskˈamos,empodɾesˈeɾ,s
distɾajɡˈajs,distɾaˈeɾ,
enflakesˈejs,enflakesˈeɾ,s
deskomponɡˈamos,deskomponˈeɾ,n
ɾebenɡˈajs,ɾebenˈiɾ,n
apaɾeskˈamos,apaɾesˈeɾ,s
depˈonɡa,deponˈeɾ,n
ɾeblandˈeses,ɾeblandesˈeɾ,s
kompaɾˈeska,kompaɾesˈeɾ,s
enbexˈesko,enbexesˈeɾ,s
fˈulçes,fulçˈiɾ,lç
enɾoxeskˈajs,enɾoxesˈeɾ,s
ɾeapaɾˈese,ɾeapaɾesˈeɾ,s
kˈajɡan,kaˈeɾ,
enkaɾˈeska,enkaɾesˈeɾ,s
apaɾesˈemos,apaɾesˈeɾ,s
enkaɾˈeskas,enkaɾesˈeɾ,s
establˈeses,establesˈeɾ,s
pɾodˈuse,pɾodusˈiɾ,s
desˈaɡas,desasˈeɾ,s
anoʧˈesko,anoʧesˈeɾ,s
embeʃˈeses,embeʃesˈeɾ,s
pɾebalesˈejs,pɾebalesˈeɾ,s
kˈaen,kaˈeɾ,
enteɾnesˈejs,enteɾnesˈeɾ,s
ɾebˈenɡas,ɾebenˈiɾ,n
kompaɾeskˈajs,kompaɾesˈeɾ,s
enbexˈeses,enbexesˈeɾ,s
ɾeapaɾesˈejs,ɾeapaɾesˈeɾ,s
desˈaɡa,desasˈeɾ,s
distɾˈae,distɾaˈeɾ,
balbˈuskas,balbusˈiɾ,s
desasˈejs,desasˈeɾ,s
enflakˈeska,enflakesˈeɾ,s
tɾaˈejs,tɾaˈeɾ,
deskompˈone,deskomponˈeɾ,n
establˈeskan,establesˈeɾ,s
balbˈuskan,balbusˈiɾ,s
antedˈiɡan,antedesˈiɾ,s
antedˈisen,antedesˈiɾ,s
pɾebalˈese,pɾebalesˈeɾ,s
ɾeblandeskˈamos,ɾeblandesˈeɾ,s
kaˈejs,kaˈeɾ,
enflakˈesko,enflakesˈeɾ,s
enbexeskˈajs,enbexesˈeɾ,s
antedˈise,antedesˈiɾ,s
ɾetwˈeɾsen,ɾetoɾsˈeɾ,ɾs
enflakˈeses,enflakesˈeɾ,s
pɾodusˈis,pɾodusˈiɾ,s
embeʃesˈejs,embeʃesˈeɾ,s
establˈese,establesˈeɾ,s
ɾetwˈeɾsa,ɾetoɾsˈeɾ,ɾs
apaɾˈeses,apaɾesˈeɾ,s
pɾodˈuska,pɾodusˈiɾ,s
fˈulxas,fulçˈiɾ,lç
enkaɾˈeskan,enkaɾesˈeɾ,s
enbexˈeska,enbexesˈeɾ,s
kontɾaˈaɡan,kontɾaasˈeɾ,s
kontɾaaɡˈajs,kontɾaasˈeɾ,s
establˈesko,establesˈeɾ,s
kompaɾˈese,kompaɾesˈeɾ,s
pɾodˈuskan,pɾodusˈiɾ,s
balbˈuse,balbusˈiɾ,s
kompaɾˈeses,kompaɾesˈeɾ,s
pɾodˈuskas,pɾodusˈiɾ,s
enoɾɡuʃˈesko,enoɾɡuʃesˈeɾ,s
fˈulxo,fulçˈiɾ,lç
ekibalɡˈamos,ekibalˈeɾ,l
ɾeblandˈesen,ɾeblandesˈeɾ,s
fulxˈajs,fulçˈiɾ,lç
fˈulxan,fulçˈiɾ,lç
desasˈemos,desasˈeɾ,s
empodɾˈeses,empodɾesˈeɾ,s
fɾˈançes,fɾançˈiɾ,nç
antedesˈis,antedesˈiɾ,s
embeʃˈeska,embeʃesˈeɾ,s
estableskˈajs,establesˈeɾ,s
apaɾˈeskan,apaɾesˈeɾ,s
tɾˈajɡas,tɾaˈeɾ,
enoɾɡuʃˈeska,enoɾɡuʃesˈeɾ,s
ɾeapaɾesˈemos,ɾeapaɾesˈeɾ,s
embeʃesˈemos,embeʃesˈeɾ,s
fɾanxˈamos,fɾançˈiɾ,nç
anoʧesˈemos,anoʧesˈeɾ,s
astɾˈinxan,astɾinçˈiɾ,nç
pɾodˈusen,pɾodusˈiɾ,s
establˈeskas,establesˈeɾ,s
empodɾˈese,empodɾesˈeɾ,s
ɾeapaɾeskˈamos,ɾeapaɾesˈeɾ,s
ɾeapaɾˈeska,ɾeapaɾesˈeɾ,s
ɾeblandˈeska,ɾeblandesˈeɾ,s
astɾˈinxo,astɾinçˈiɾ,nç
aborˈeska,aboresˈeɾ,s
embeʃˈese,embeʃesˈeɾ,s
enkaɾˈese,enkaɾesˈeɾ,s
kontɾaˈase,kontɾaasˈeɾ,s
anoʧˈese,anoʧesˈeɾ,s
